		            Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/06/10	0:10	10.9	10.9	10.9	92	9.7	1.6	N	0.27	4.8	N	10.9	11.1	11.1	9.4	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.051	0.000	22.1	48	10.6	21.4	8.89	 .0742	0.00	27	19.4	0	19.4	232	1	100.0	10
01/06/10	0:20	10.8	10.9	10.8	92	9.6	1.6	NE	0.27	4.8	ENE	10.8	11.0	11.0	9.3	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.052	0.000	22.0	48	10.5	21.3	8.88	 .0743	0.00	27	19.4	0	19.4	233	1	100.0	10
01/06/10	0:30	10.8	10.8	10.8	93	9.7	1.6	ENE	0.27	4.8	S	10.8	11.0	11.0	9.3	1020.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.052	0.000	21.9	49	10.7	21.2	9.05	 .0743	0.00	27	19.4	0	19.4	231	1	100.0	10
01/06/10	0:40	10.9	10.9	10.8	93	9.8	0.0	S	0.00	3.2	S	10.9	11.1	11.1	9.3	1020.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.052	0.000	21.8	49	10.6	21.0	9.05	 .0743	0.00	27	19.4	0	19.4	233	1	100.0	10
01/06/10	0:50	11.1	11.1	10.9	92	9.8	0.0	S	0.00	1.6	S	11.1	11.2	11.2	9.4	1020.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.051	0.000	21.8	49	10.6	21.0	9.05	 .0743	0.00	27	19.4	0	19.4	228	1	100.0	10
01/06/10	1:00	11.7	11.7	11.1	92	10.4	1.6	S	0.27	3.2	S	11.7	11.8	11.8	10.1	1020.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	21.7	50	10.8	21.0	9.25	 .0743	0.00	28	19.4	0	19.4	233	1	100.0	10
01/06/10	1:10	13.3	13.3	11.7	84	10.6	3.2	SSW	0.54	8.0	SSE	13.3	13.2	13.2	11.6	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	21.5	50	10.6	20.7	9.25	 .0744	0.00	28	19.4	0	19.4	230	1	100.0	10
01/06/10	1:20	14.1	14.1	13.3	77	10.1	3.2	S	0.54	9.7	S	14.1	13.9	13.9	12.2	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	21.3	49	10.2	20.4	9.05	 .0745	0.00	28	19.4	0	19.4	230	1	100.0	10
01/06/10	1:30	14.3	14.3	14.1	75	10.0	4.8	SSW	0.80	14.5	SSE	14.3	14.1	14.1	12.3	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.028	0.000	21.2	49	10.0	20.2	9.05	 .0745	0.00	28	19.4	0	19.4	227	1	99.6	10
