		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/02/11	0:10	19.4	19.5	19.4	95	18.6	0.0	---	0.00	0.0	---	19.4	20.3	20.3	19.1	1013.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	30.1	55	20.1	32.3	9.83	 .0711	0.00	---	---	---	---	233	1	100.0	10
01/02/11	0:20	19.5	19.5	19.4	94	18.5	0.0	NNE	0.00	0.9	NNE	19.5	20.4	20.4	19.1	1013.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	30.1	55	20.1	32.3	9.83	 .0711	0.00	---	---	---	---	232	1	100.0	10
01/02/11	0:30	19.6	19.6	19.5	94	18.6	0.0	N	0.00	0.9	N	19.6	20.4	20.4	19.2	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	30.0	55	20.0	32.1	9.83	 .0711	0.00	---	---	---	---	231	1	100.0	10
01/02/11	0:40	19.3	19.6	19.3	94	18.3	0.4	N	0.27	1.8	N	19.3	20.1	20.1	18.8	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	30.0	55	20.0	32.1	9.83	 .0710	0.00	---	---	---	---	228	1	100.0	10
01/02/11	0:50	19.1	19.3	19.1	95	18.3	0.4	N	0.27	1.8	N	19.1	19.9	19.9	18.7	1012.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	29.9	55	19.9	31.8	9.83	 .0711	0.00	---	---	---	---	223	1	97.8	10
01/02/11	1:00	19.1	19.1	19.1	95	18.2	0.4	N	0.27	2.2	N	19.1	19.9	19.9	18.6	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	29.9	55	19.9	31.8	9.83	 .0711	0.00	---	---	---	---	224	1	98.2	10
01/02/11	1:10	19.0	19.1	19.0	95	18.2	0.4	N	0.27	1.8	N	19.0	19.8	19.8	18.5	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	29.9	55	19.9	31.8	9.83	 .0710	0.00	---	---	---	---	223	1	97.8	10
01/02/11	1:20	18.9	19.0	18.8	95	18.1	0.0	N	0.00	0.9	N	18.9	19.7	19.7	18.4	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	29.9	55	19.9	31.8	9.83	 .0710	0.00	---	---	---	---	224	1	98.2	10
01/02/11	1:30	18.8	18.9	18.8	96	18.2	0.0	N	0.00	1.8	N	18.8	19.6	19.6	18.3	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	29.8	55	19.8	31.7	9.84	 .0710	0.00	---	---	---	---	225	1	98.7	10
