		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/12/12	0:10	22.1	22.2	22.1	73	17.0	0.9	SSE	0.54	3.1	ESE	22.1	22.6	22.6	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	26.2	55	16.4	26.5	9.89	 .0723	0.00	---	---	228	2	100.0	10
01/12/12	0:20	22.0	22.1	22.0	74	17.2	0.9	ESE	0.54	2.7	E	22.0	22.5	22.5	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.2	55	16.4	26.5	9.89	 .0723	0.00	---	---	226	2	100.0	10
01/12/12	0:30	21.9	22.1	21.9	74	17.1	0.4	ESE	0.27	1.8	ESE	21.9	22.4	22.4	---	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.1	55	16.3	26.4	9.89	 .0723	0.00	---	---	229	2	100.0	10
01/12/12	0:40	21.8	21.9	21.8	74	17.0	0.4	ESE	0.27	1.8	S	21.8	22.3	22.3	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	26.1	55	16.3	26.4	9.89	 .0723	0.00	---	---	228	2	100.0	10
01/12/12	0:50	21.8	21.8	21.8	74	16.9	0.9	E	0.54	2.7	E	21.8	22.2	22.2	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	26.1	55	16.3	26.4	9.89	 .0723	0.00	---	---	228	2	100.0	10
01/12/12	1:00	21.6	21.8	21.6	77	17.4	0.4	E	0.27	2.7	E	21.6	22.1	22.1	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.1	55	16.3	26.4	9.89	 .0723	0.03	---	---	229	2	100.0	10
01/12/12	1:10	21.0	21.6	21.0	79	17.2	0.0	NNE	0.00	0.4	NNE	21.0	21.6	21.6	---	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	26.1	55	16.3	26.4	9.89	 .0723	0.00	---	---	228	2	100.0	10
01/12/12	1:20	20.7	21.0	20.7	81	17.3	0.0	NNE	0.00	0.9	NNE	20.7	21.5	21.5	---	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.016	26.1	55	16.3	26.4	9.89	 .0723	0.00	---	---	229	2	100.0	10
01/12/12	1:30	20.5	20.7	20.4	82	17.3	0.4	NNE	0.27	1.3	NNE	20.5	21.4	21.4	---	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	26.1	54	16.0	26.3	9.77	 .0723	0.00	---	---	201	2	90.5	10
01/12/12	1:40	20.5	20.5	20.4	82	17.3	0.0	---	0.00	0.0	---	20.5	21.4	21.4	---	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	26.1	54	16.0	26.3	9.77	 .0723	0.00	---	---	228	2	100.0	10
01/12/12	1:50	20.2	20.5	20.2	83	17.2	0.0	NNE	0.00	1.3	NNE	20.2	21.1	21.1	---	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.013	26.1	54	16.0	26.3	9.77	 .0723	0.00	---	---	228	2	100.0	10
01/12/12	2:00	19.9	20.2	19.9	84	17.2	0.0	NNE	0.00	1.3	NNE	19.9	20.7	20.7	---	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.011	25.9	54	15.9	26.2	9.78	 .0724	0.00	---	---	229	2	100.0	10
01/12/12	2:10	19.8	20.0	19.8	85	17.2	0.0	NNE	0.00	0.9	NNE	19.8	20.6	20.6	---	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	25.9	55	16.2	26.3	9.90	 .0724	0.00	---	---	229	2	100.0	10
01/12/12	2:20	19.7	19.8	19.7	86	17.3	0.0	NNE	0.00	0.4	NNE	19.7	20.5	20.5	---	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	25.9	54	15.9	26.2	9.78	 .0724	0.00	---	---	228	2	100.0	10
01/12/12	2:30	19.7	19.7	19.7	86	17.3	0.0	NNE	0.00	0.4	NNE	19.7	20.4	20.4	---	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	25.9	55	16.2	26.3	9.90	 .0724	0.00	---	---	228	2	100.0	10
01/12/12	2:40	19.6	19.7	19.6	86	17.1	0.0	NNE	0.00	0.9	NNE	19.6	20.3	20.3	---	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	25.8	54	15.8	26.1	9.78	 .0724	0.00	---	---	228	2	100.0	10
01/12/12	2:50	19.7	19.7	19.6	86	17.3	0.0	NNE	0.00	0.4	NNE	19.7	20.4	20.4	---	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	25.8	54	15.8	26.1	9.78	 .0724	0.00	---	---	229	2	100.0	10
01/12/12	3:00	19.6	19.7	19.6	86	17.1	0.0	NNE	0.00	0.4	NNE	19.6	20.3	20.3	---	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	25.8	54	15.8	26.1	9.78	 .0724	0.00	---	---	228	2	100.0	10
01/12/12	3:10	19.4	19.6	19.4	87	17.2	0.0	NNE	0.00	0.4	NNE	19.4	20.2	20.2	---	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	25.8	55	16.1	26.2	9.91	 .0724	0.00	---	---	228	2	100.0	10
01/12/12	3:20	19.3	19.4	19.3	88	17.3	0.0	NNE	0.00	1.3	NNE	19.3	20.1	20.1	---	1013.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	25.7	54	15.7	25.9	9.78	 .0725	0.00	---	---	229	2	100.0	10
01/12/12	3:30	19.2	19.3	19.2	88	17.1	0.0	NNE	0.00	0.4	NNE	19.2	19.9	19.9	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	25.7	54	15.7	25.9	9.78	 .0725	0.00	---	---	228	2	100.0	10
01/12/12	3:40	19.1	19.2	19.1	89	17.2	0.0	NNE	0.00	0.4	NNE	19.1	19.8	19.8	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	25.7	54	15.7	25.9	9.78	 .0725	0.00	---	---	229	2	100.0	10
01/12/12	3:50	19.0	19.1	19.0	89	17.1	0.0	NNE	0.00	0.4	NNE	19.0	19.7	19.7	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	25.7	54	15.7	25.9	9.78	 .0725	0.00	---	---	228	2	100.0	10
01/12/12	4:00	18.9	19.0	18.9	89	17.1	0.4	NNE	0.27	1.3	NNE	18.9	19.7	19.7	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	25.7	54	15.7	25.9	9.78	 .0725	0.00	---	---	229	2	100.0	10
01/12/12	4:10	19.0	19.0	18.9	89	17.1	0.0	---	0.00	0.0	---	19.0	19.7	19.7	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	25.7	55	16.0	26.0	9.92	 .0725	0.00	---	---	227	2	100.0	10
