		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/02/12	0:10	19.1	19.1	19.1	92	17.8	0.0	NNE	0.00	0.4	NNE	19.1	19.9	19.9	---	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	26.7	64	19.3	27.7	11.55	 .0718	0.00	---	---	230	1	100.0	10
01/02/12	0:20	19.1	19.2	19.1	92	17.8	0.0	NNE	0.00	1.3	NNE	19.1	19.9	19.9	---	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	26.4	65	19.3	27.5	11.76	 .0719	0.00	---	---	228	1	100.0	10
01/02/12	0:30	18.8	19.1	18.8	92	17.5	0.0	NNE	0.00	0.9	NNE	18.8	19.5	19.5	---	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	26.4	64	19.1	27.4	11.56	 .0719	0.00	---	---	231	1	100.0	10
01/02/12	0:40	18.6	18.8	18.6	93	17.5	0.0	NNE	0.00	0.4	NNE	18.6	19.3	19.3	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	26.3	65	19.2	27.3	11.76	 .0719	0.00	---	---	230	1	100.0	10
01/02/12	0:50	18.6	18.6	18.6	93	17.4	0.0	---	0.00	0.0	---	18.6	19.2	19.2	---	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	26.3	65	19.2	27.3	11.76	 .0719	0.00	---	---	231	1	100.0	10
01/02/12	1:00	18.5	18.6	18.5	94	17.5	0.0	---	0.00	0.0	---	18.5	19.2	19.2	---	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	26.6	64	19.2	27.6	11.55	 .0719	0.00	---	---	230	1	100.0	10
01/02/12	1:10	18.6	18.6	18.5	93	17.5	0.0	NNE	0.00	0.4	NNE	18.6	19.3	19.3	---	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	26.2	65	19.1	27.2	11.77	 .0720	0.00	---	---	226	1	99.1	10
01/02/12	1:20	18.7	18.7	18.6	92	17.4	0.0	N	0.00	0.4	NNE	18.7	19.4	19.4	---	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	26.2	65	19.1	27.2	11.77	 .0720	0.00	---	---	230	1	100.0	10
01/02/12	1:30	18.8	18.8	18.7	92	17.5	0.0	N	0.00	0.4	N	18.8	19.5	19.5	---	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	26.2	65	19.1	27.1	11.77	 .0720	0.00	---	---	231	1	100.0	10
01/02/12	1:40	18.6	18.8	18.6	92	17.2	0.0	N	0.00	1.3	N	18.6	19.2	19.2	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	26.2	65	19.1	27.1	11.77	 .0720	0.00	---	---	232	1	100.0	10
01/02/12	1:50	18.3	18.6	18.3	93	17.2	0.0	N	0.00	1.3	N	18.3	18.9	18.9	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	26.2	65	19.1	27.2	11.77	 .0720	0.00	---	---	231	1	100.0	10
01/02/12	2:00	18.3	18.4	18.3	94	17.3	0.0	N	0.00	1.3	N	18.3	18.9	18.9	---	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	26.1	65	19.0	27.0	11.77	 .0720	0.00	---	---	230	1	100.0	10
01/02/12	2:10	18.2	18.3	18.2	94	17.2	0.0	N	0.00	0.9	N	18.2	18.8	18.8	---	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.001	0.000	26.2	65	19.1	27.1	11.77	 .0720	0.00	---	---	233	1	100.0	10
01/02/12	2:20	18.1	18.2	18.1	94	17.1	0.0	N	0.00	0.4	N	18.1	18.7	18.7	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	25.9	65	18.9	26.8	11.78	 .0720	0.00	---	---	232	1	100.0	10
01/02/12	2:30	18.2	18.2	18.1	94	17.2	0.0	N	0.00	1.3	N	18.2	18.8	18.8	---	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.001	0.000	25.9	65	18.9	26.8	11.78	 .0720	0.00	---	---	232	1	100.0	10
01/02/12	2:40	18.3	18.3	18.2	95	17.5	0.0	N	0.00	0.4	N	18.3	18.9	18.9	---	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	25.8	65	18.8	26.7	11.78	 .0721	0.00	---	---	232	1	100.0	10
01/02/12	2:50	18.3	18.3	18.2	95	17.5	0.0	---	0.00	0.0	---	18.3	18.9	18.9	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	25.8	65	18.8	26.7	11.78	 .0721	0.00	---	---	230	1	100.0	10
01/02/12	3:00	18.4	18.4	18.3	95	17.6	0.0	---	0.00	0.0	---	18.4	19.1	19.1	---	1011.8	0.40	4.6	0	0.00	0	0.0	0.00	0.0	0.000	0.000	25.9	65	18.9	26.8	11.78	 .0720	0.00	---	---	231	1	100.0	10
01/02/12	3:10	18.5	18.5	18.4	95	17.7	0.0	N	0.00	1.3	N	18.5	19.2	19.2	---	1011.8	0.60	6.8	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.7	66	18.9	26.6	11.98	 .0721	0.00	---	---	234	1	100.0	10
01/02/12	3:20	18.4	18.5	18.4	95	17.6	0.0	N	0.00	0.9	N	18.4	19.1	19.1	---	1011.9	0.00	0.8	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.7	66	18.9	26.6	11.98	 .0721	0.00	---	---	234	1	100.0	10
01/02/12	3:30	18.5	18.5	18.4	95	17.7	0.0	---	0.00	0.0	---	18.5	19.2	19.2	---	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.6	66	18.8	26.5	11.99	 .0721	0.00	---	---	233	1	100.0	10
01/02/12	3:40	18.5	18.5	18.4	95	17.7	0.0	N	0.00	0.9	N	18.5	19.2	19.2	---	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.6	66	18.8	26.5	11.99	 .0721	0.00	---	---	234	1	100.0	10
01/02/12	3:50	18.6	18.6	18.5	95	17.7	0.0	N	0.00	0.4	N	18.6	19.3	19.3	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	25.8	65	18.8	26.7	11.78	 .0721	0.00	---	---	234	1	100.0	10
01/02/12	4:00	18.5	18.6	18.5	94	17.5	0.0	N	0.00	0.9	N	18.5	19.2	19.2	---	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.5	66	18.7	26.3	11.99	 .0722	0.00	---	---	233	1	100.0	10
01/02/12	4:10	18.5	18.6	18.5	94	17.5	0.0	N	0.00	0.4	N	18.5	19.2	19.2	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.5	66	18.7	26.3	11.99	 .0722	0.00	---	---	234	1	100.0	10
01/02/12	4:20	18.5	18.5	18.4	94	17.5	0.0	N	0.00	0.4	N	18.5	19.2	19.2	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.4	66	18.6	26.3	11.99	 .0722	0.00	---	---	234	1	100.0	10
01/02/12	4:30	18.4	18.5	18.4	94	17.5	0.0	N	0.00	0.4	N	18.4	19.1	19.1	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	25.4	66	18.6	26.3	11.99	 .0722	0.00	---	---	234	1	100.0	10
