		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
06/01/12	15:10	28.0	28.5	28.0	60	19.5	0.9	NNE	0.54	2.2	N	28.0	29.3	29.3	30.4	1008.7	0.00	0.0	135	1.94	162	1.2	0.09	1.5	0.000	0.067	27.1	63	19.4	28.2	11.34	 .0715	0.00	---	---	---	---	231	1	100.0	10
06/01/12	15:20	27.7	28.0	27.6	59	18.9	0.4	N	0.27	2.2	N	27.7	28.7	28.7	29.1	1008.8	0.00	0.0	88	1.26	100	0.7	0.05	0.8	0.000	0.065	27.2	63	19.5	28.3	11.33	 .0715	0.00	---	---	---	---	227	1	99.6	10
06/01/12	15:30	27.3	27.7	27.3	62	19.4	0.4	N	0.27	1.8	N	27.3	28.5	28.5	28.6	1008.7	0.00	0.0	66	0.95	77	0.3	0.02	0.6	0.000	0.062	27.2	63	19.5	28.3	11.33	 .0714	0.00	---	---	---	---	229	1	100.0	10
06/01/12	15:40	27.1	27.3	27.0	62	19.1	0.0	N	0.00	1.3	N	27.1	28.1	28.1	27.9	1008.9	0.00	0.0	47	0.67	54	0.0	0.00	0.0	0.000	0.061	27.2	63	19.5	28.3	11.33	 .0715	0.00	---	---	---	---	225	1	98.7	10
06/01/12	15:50	26.8	27.1	26.8	69	20.6	0.0	N	0.00	1.3	N	26.8	28.3	28.3	28.1	1009.0	0.00	0.0	42	0.60	49	0.0	0.00	0.0	0.000	0.059	27.3	64	19.9	28.6	11.53	 .0714	0.00	---	---	---	---	225	1	98.7	10
06/01/12	16:00	25.9	26.8	25.9	71	20.3	0.9	NNE	0.54	2.2	NNE	25.9	27.2	27.2	27.6	1009.1	0.00	0.0	71	1.02	83	0.0	0.00	0.5	0.000	0.053	27.3	64	19.9	28.6	11.53	 .0714	0.08	---	---	---	---	228	1	100.0	10
06/01/12	16:10	25.9	25.9	25.8	65	18.8	1.8	ENE	1.07	4.5	NE	25.9	26.8	26.8	26.9	1009.2	0.00	0.0	63	0.90	74	0.1	0.01	0.5	0.000	0.052	27.3	64	19.9	28.6	11.53	 .0714	0.00	---	---	---	---	227	1	99.6	10
06/01/12	16:20	25.4	25.9	25.4	65	18.4	1.8	ENE	1.07	4.5	NE	25.4	26.2	26.2	27.1	1008.9	0.00	0.0	97	1.39	128	0.3	0.02	0.6	0.000	0.049	27.3	64	19.9	28.6	11.53	 .0714	0.00	---	---	---	---	224	1	98.2	10
06/01/12	16:30	25.1	25.4	25.1	66	18.3	3.1	ENE	1.88	7.6	NNE	25.1	25.8	25.8	26.4	1009.1	0.00	0.0	83	1.19	135	0.1	0.01	0.5	0.000	0.047	27.4	64	20.0	28.8	11.52	 .0714	0.00	---	---	---	---	228	1	100.0	10
06/01/12	16:40	24.7	25.1	24.7	63	17.2	2.7	NE	1.61	7.6	NNE	24.7	25.3	25.3	24.8	1009.6	0.00	0.0	27	0.39	44	0.0	0.00	0.0	0.000	0.044	27.4	63	19.7	28.7	11.32	 .0714	0.00	---	---	---	---	225	1	98.7	10
06/01/12	16:50	24.4	24.7	24.4	68	18.1	2.7	N	1.61	6.7	NNE	24.4	25.3	25.3	24.3	1010.6	0.00	0.0	3	0.04	9	0.0	0.00	0.0	0.000	0.042	27.4	62	19.5	28.6	11.12	 .0715	0.00	---	---	---	---	232	1	100.0	10
06/01/12	17:00	22.1	24.4	22.1	76	17.7	2.2	NW	1.34	7.6	NNW	22.1	22.7	22.7	21.7	1011.4	1.60	51.2	1	0.01	5	0.0	0.00	0.0	0.000	0.026	27.4	62	19.5	28.6	11.12	 .0716	0.08	---	---	---	---	232	1	100.0	10
06/01/12	17:10	20.7	22.1	20.7	86	18.3	0.9	E	0.54	2.7	NE	20.7	21.7	21.7	20.8	1011.6	7.40	96.8	6	0.09	7	0.0	0.00	0.0	0.000	0.017	27.4	62	19.5	28.6	11.12	 .0716	0.00	---	---	---	---	233	1	100.0	10
06/01/12	17:20	19.9	20.7	19.9	86	17.5	1.8	NE	1.07	6.7	NE	19.9	20.8	20.8	19.9	1011.7	1.20	24.6	6	0.09	9	0.0	0.00	0.0	0.000	0.011	27.4	62	19.5	28.6	11.12	 .0716	0.00	---	---	---	---	234	1	100.0	10
06/01/12	17:30	19.9	19.9	19.9	90	18.2	0.4	ENE	0.27	1.8	ENE	19.9	20.8	20.8	20.1	1012.1	0.20	2.2	11	0.16	11	0.0	0.00	0.0	0.000	0.011	27.4	62	19.5	28.6	11.12	 .0716	0.00	---	---	---	---	231	1	100.0	10
06/01/12	17:40	19.9	19.9	19.9	91	18.4	0.4	S	0.27	2.7	SSW	19.9	20.9	20.9	20.2	1012.2	0.40	2.2	10	0.14	11	0.0	0.00	0.0	0.000	0.011	27.3	62	19.4	28.4	11.13	 .0717	0.00	---	---	---	---	234	1	100.0	10
06/01/12	17:50	19.7	19.9	19.7	90	18.0	1.3	S	0.80	2.7	S	19.7	20.6	20.6	19.8	1012.0	0.00	1.2	9	0.13	9	0.0	0.00	0.0	0.000	0.010	27.3	62	19.4	28.4	11.13	 .0717	0.00	---	---	---	---	232	1	100.0	10
06/01/12	18:00	19.6	19.7	19.6	91	18.0	0.4	S	0.27	1.8	SSW	19.6	20.4	20.4	19.3	1012.2	0.00	0.0	8	0.11	9	0.0	0.00	0.0	0.000	0.008	27.3	63	19.6	28.5	11.33	 .0717	0.00	---	---	---	---	235	1	100.0	10
06/01/12	18:10	19.4	19.6	19.4	90	17.7	0.0	SE	0.00	2.2	SE	19.4	20.2	20.2	19.1	1012.3	0.00	0.0	8	0.11	9	0.0	0.00	0.0	0.000	0.007	27.3	63	19.6	28.5	11.33	 .0717	0.00	---	---	---	---	233	1	100.0	10
06/01/12	18:20	19.4	19.4	19.4	91	17.9	0.0	SE	0.00	0.9	SE	19.4	20.2	20.2	19.0	1012.7	0.00	0.0	4	0.06	7	0.0	0.00	0.0	0.000	0.007	27.3	63	19.6	28.5	11.33	 .0717	0.00	---	---	---	---	234	1	100.0	10
06/01/12	18:30	19.4	19.4	19.3	92	18.1	0.0	---	0.00	0.0	---	19.4	20.2	20.2	18.9	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	27.3	63	19.6	28.5	11.33	 .0717	0.00	---	---	---	---	233	1	100.0	10
06/01/12	18:40	19.4	19.5	19.4	90	17.8	0.9	SSW	0.54	3.1	SSW	19.4	20.3	20.3	19.0	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	27.3	63	19.6	28.5	11.33	 .0717	0.00	---	---	---	---	232	1	100.0	10
06/01/12	18:50	19.4	19.5	19.4	90	17.7	1.8	SSW	1.07	4.0	S	19.4	20.2	20.2	18.9	1013.5	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	27.3	62	19.4	28.4	11.13	 .0718	0.00	---	---	---	---	232	1	100.0	10
06/01/12	19:00	19.3	19.4	19.3	91	17.8	0.9	SW	0.54	3.6	SSW	19.3	20.2	20.2	18.9	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	27.3	62	19.4	28.4	11.13	 .0718	0.00	---	---	---	---	229	1	100.0	10
06/01/12	19:10	19.3	19.3	19.3	90	17.6	1.3	SSW	0.80	3.6	SW	19.3	20.1	20.1	18.8	1013.9	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	27.2	62	19.3	28.3	11.13	 .0718	0.00	---	---	---	---	233	1	100.0	10
06/01/12	19:20	19.3	19.3	19.2	90	17.6	1.3	SSW	0.80	4.0	SSW	19.3	20.1	20.1	18.8	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	27.2	62	19.3	28.3	11.13	 .0719	0.00	---	---	---	---	234	1	100.0	10
06/01/12	19:30	19.2	19.3	19.2	91	17.7	1.3	SSW	0.80	3.6	SSW	19.2	20.0	20.0	18.7	1014.6	0.80	7.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	27.2	62	19.3	28.3	11.13	 .0719	0.00	---	---	---	---	233	1	100.0	10
06/01/12	19:40	19.1	19.2	19.1	90	17.4	0.9	SSW	0.54	2.2	SW	19.1	19.8	19.8	18.6	1014.8	1.00	9.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	27.1	62	19.1	28.1	11.14	 .0720	0.00	---	---	---	---	229	1	100.0	10
06/01/12	19:50	18.9	19.1	18.9	90	17.3	0.4	SSW	0.27	3.1	W	18.9	19.7	19.7	18.4	1015.2	1.00	7.6	0	0.00	0	0.0	0.00	0.0	0.000	0.004	27.1	62	19.1	28.1	11.14	 .0720	0.00	---	---	---	---	227	1	99.6	10
06/01/12	20:00	18.8	18.9	18.8	90	17.1	0.4	SW	0.27	2.7	W	18.8	19.4	19.4	18.1	1015.5	1.20	9.8	0	0.00	0	0.0	0.00	0.0	0.000	0.003	27.1	62	19.1	28.1	11.14	 .0720	0.00	---	---	---	---	228	1	100.0	10
06/01/12	20:10	18.6	18.8	18.6	91	17.1	0.0	SSW	0.00	0.9	SSW	18.6	19.3	19.3	17.9	1015.8	1.00	8.6	0	0.00	0	0.0	0.00	0.0	0.000	0.002	27.1	62	19.1	28.1	11.14	 .0720	0.00	---	---	---	---	227	1	99.6	10
06/01/12	20:20	18.4	18.6	18.4	92	17.1	0.0	SSW	0.00	0.9	SSW	18.4	19.1	19.1	17.7	1016.1	1.40	9.8	0	0.00	0	0.0	0.00	0.0	0.000	0.001	26.9	63	19.3	28.0	11.34	 .0721	0.00	---	---	---	---	229	1	100.0	10
