		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/03/12	0:10	21.7	21.7	21.4	74	16.9	0.4	E	0.27	2.2	SW	21.7	22.1	22.1	---	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	30.4	49	18.5	31.9	8.85	 .0710	0.00	---	---	233	1	100.0	10
01/03/12	0:20	21.6	21.8	21.6	76	17.2	0.0	ENE	0.00	1.3	E	21.6	22.1	22.1	---	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.023	30.4	49	18.5	31.9	8.85	 .0710	0.00	---	---	234	1	100.0	10
01/03/12	0:30	21.1	21.6	21.1	77	16.9	0.4	NE	0.27	2.2	NNE	21.1	21.6	21.6	---	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	30.3	49	18.4	31.7	8.85	 .0711	0.00	---	---	234	1	100.0	10
01/03/12	0:40	20.6	21.1	20.6	80	17.0	0.4	NNE	0.27	1.8	NNE	20.6	21.4	21.4	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	30.3	49	18.4	31.7	8.85	 .0711	0.00	---	---	233	1	100.0	10
01/03/12	0:50	19.9	20.6	19.9	82	16.8	0.4	N	0.27	1.8	N	19.9	20.7	20.7	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.011	30.3	49	18.4	31.7	8.85	 .0711	0.00	---	---	234	1	100.0	10
01/03/12	1:00	20.1	20.1	19.9	82	16.9	0.0	N	0.00	0.4	N	20.1	20.9	20.9	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.012	30.1	49	18.2	31.3	8.85	 .0711	0.00	---	---	234	1	100.0	10
01/03/12	1:10	20.2	20.2	20.1	81	16.8	0.0	N	0.00	0.4	N	20.2	20.9	20.9	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.013	30.1	49	18.2	31.3	8.85	 .0711	0.00	---	---	231	1	100.0	10
01/03/12	1:20	20.2	20.4	20.2	81	16.9	0.4	N	0.27	2.2	N	20.2	21.0	21.0	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.013	30.0	49	18.1	31.1	8.85	 .0712	0.00	---	---	234	1	100.0	10
01/03/12	1:30	19.5	20.2	19.5	84	16.7	0.4	N	0.27	1.8	N	19.5	20.2	20.2	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	30.0	49	18.1	31.1	8.85	 .0712	0.00	---	---	232	1	100.0	10
01/03/12	1:40	19.3	19.5	19.2	84	16.5	1.3	N	0.80	2.7	N	19.3	19.9	19.9	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	30.2	49	18.3	31.5	8.85	 .0711	0.00	---	---	233	1	100.0	10
01/03/12	1:50	19.3	19.3	19.3	84	16.5	0.0	WNW	0.00	1.8	NW	19.3	19.9	19.9	---	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	29.9	49	18.0	30.9	8.85	 .0712	0.00	---	---	234	1	100.0	10
01/03/12	2:00	19.2	19.3	19.2	85	16.6	0.4	NNW	0.27	2.2	N	19.2	19.9	19.9	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	29.9	49	18.0	30.9	8.85	 .0712	0.00	---	---	233	1	100.0	10
01/03/12	2:10	19.0	19.2	19.0	85	16.4	0.4	NNW	0.27	1.8	NNW	19.0	19.6	19.6	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	29.8	49	17.9	30.8	8.85	 .0712	0.00	---	---	233	1	100.0	10
