		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/11/12	0:10	24.7	24.7	24.7	68	18.4	0.9	SE	0.54	3.6	SE	24.7	25.6	25.6	---	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	26.4	56	17.0	26.9	10.07	 .0719	0.00	---	---	229	2	100.0	10
01/11/12	0:20	24.7	24.8	24.7	66	17.9	0.9	S	0.54	3.1	SSW	24.7	25.5	25.5	---	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	26.4	56	17.0	26.9	10.07	 .0720	0.00	---	---	228	2	100.0	10
01/11/12	0:30	24.6	24.8	24.6	67	18.0	2.2	WSW	1.34	5.8	WSW	24.6	25.4	25.4	---	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.043	26.4	56	17.0	26.9	10.07	 .0720	0.00	---	---	229	2	100.0	10
01/11/12	0:40	22.9	24.5	22.9	76	18.5	1.3	SSW	0.80	4.0	SSW	22.9	23.9	23.9	---	1010.2	0.80	14.0	0	0.00	0	0.0	0.00	0.0	0.000	0.032	26.4	56	17.0	26.9	10.07	 .0720	0.00	---	---	227	2	100.0	10
01/11/12	0:50	22.8	22.9	22.8	75	18.2	1.8	S	1.07	4.5	SSW	22.8	23.7	23.7	---	1009.9	0.20	2.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	26.4	57	17.2	26.9	10.17	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	1:00	22.8	22.8	22.8	74	17.9	1.8	SSE	1.07	5.4	E	22.8	23.6	23.6	---	1009.6	0.00	0.8	0	0.00	0	0.0	0.00	0.0	0.000	0.031	26.3	57	17.1	26.8	10.17	 .0719	0.03	---	---	227	2	100.0	10
01/11/12	1:10	22.4	22.8	22.4	75	17.8	1.3	ESE	0.80	4.0	SE	22.4	23.1	23.1	---	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.3	57	17.1	26.8	10.17	 .0719	0.00	---	---	227	2	100.0	10
01/11/12	1:20	22.2	22.4	22.2	76	17.8	0.9	SE	0.54	2.2	SW	22.2	22.8	22.8	---	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	26.3	57	17.1	26.7	10.18	 .0719	0.00	---	---	229	2	100.0	10
01/11/12	1:30	22.1	22.2	22.1	76	17.7	0.0	SSE	0.00	1.3	S	22.1	22.7	22.7	---	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	26.3	58	17.4	26.8	10.38	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	1:40	21.9	22.1	21.9	77	17.7	0.0	SSE	0.00	0.4	SSE	21.9	22.6	22.6	---	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.3	57	17.1	26.7	10.18	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	1:50	21.8	21.9	21.8	78	17.8	0.0	SSE	0.00	1.3	SSE	21.8	22.4	22.4	---	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	26.2	57	17.0	26.6	10.19	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	2:00	21.9	21.9	21.8	78	17.9	0.0	SSE	0.00	0.4	SSE	21.9	22.6	22.6	---	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.2	57	17.0	26.6	10.19	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	2:10	22.1	22.1	21.9	75	17.5	0.4	S	0.27	2.2	SSE	22.1	22.7	22.7	---	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	26.2	57	17.0	26.6	10.19	 .0719	0.00	---	---	227	2	100.0	10
01/11/12	2:20	22.3	22.3	22.1	72	17.0	0.4	SW	0.27	2.2	SSE	22.3	22.8	22.8	---	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	26.2	57	17.0	26.6	10.19	 .0719	0.00	---	---	229	2	100.0	10
01/11/12	2:30	22.4	22.5	22.3	72	17.1	0.9	S	0.54	3.6	SSE	22.4	23.0	23.0	---	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.2	56	16.7	26.6	10.09	 .0720	0.00	---	---	229	2	100.0	10
01/11/12	2:40	22.5	22.5	22.4	72	17.2	1.3	S	0.80	4.9	S	22.5	23.1	23.1	---	1008.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	26.1	56	16.6	26.4	10.09	 .0720	0.00	---	---	228	2	100.0	10
01/11/12	2:50	22.3	22.5	22.3	72	17.0	0.9	SSE	0.54	2.2	SSW	22.3	22.8	22.8	---	1008.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	26.1	56	16.6	26.4	10.09	 .0720	0.00	---	---	229	2	100.0	10
01/11/12	3:00	22.2	22.3	22.2	74	17.3	0.4	ESE	0.27	1.8	ESE	22.2	22.7	22.7	---	1008.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	26.1	56	16.6	26.4	10.09	 .0719	0.03	---	---	228	2	100.0	10
01/11/12	3:10	21.7	22.2	21.7	76	17.3	0.4	E	0.27	1.3	E	21.7	22.2	22.2	---	1008.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	26.1	56	16.6	26.4	10.09	 .0719	0.00	---	---	229	2	100.0	10
01/11/12	3:20	21.3	21.7	21.3	79	17.5	0.0	E	0.00	0.9	E	21.3	21.9	21.9	---	1008.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.1	56	16.6	26.4	10.09	 .0719	0.00	---	---	227	2	100.0	10
01/11/12	3:30	21.1	21.3	21.1	81	17.7	0.0	E	0.00	0.4	E	21.1	21.8	21.8	---	1007.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	26.1	56	16.6	26.4	10.09	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	3:40	21.1	21.1	21.0	83	18.1	0.4	NNW	0.27	1.8	NW	21.1	21.8	21.8	---	1007.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	26.1	56	16.6	26.4	10.09	 .0719	0.00	---	---	228	2	100.0	10
01/11/12	3:50	20.8	21.1	20.8	84	18.0	0.0	NNW	0.00	0.4	NNW	20.8	21.7	21.7	---	1008.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.9	56	16.5	26.3	10.10	 .0720	0.00	---	---	228	2	100.0	10
01/11/12	4:00	20.9	20.9	20.8	80	17.3	0.4	SSE	0.27	1.8	SSE	20.9	21.6	21.6	---	1008.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.018	25.9	56	16.5	26.3	10.10	 .0720	0.00	---	---	229	2	100.0	10
01/11/12	4:10	21.1	21.2	20.9	82	17.9	0.0	SSE	0.00	0.4	SSE	21.1	21.8	21.8	---	1008.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	25.9	56	16.5	26.3	10.10	 .0720	0.00	---	---	228	2	100.0	10
01/11/12	4:20	20.4	21.1	20.4	84	17.6	0.0	E	0.00	0.4	E	20.4	21.4	21.4	---	1008.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	25.9	56	16.5	26.3	10.10	 .0720	0.00	---	---	202	2	91.0	10
01/11/12	4:30	20.3	20.4	20.3	87	18.1	0.0	N	0.00	1.3	N	20.3	21.3	21.3	---	1008.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	25.9	56	16.5	26.3	10.10	 .0720	0.00	---	---	228	2	100.0	10
01/11/12	4:40	20.2	20.3	20.2	86	17.8	0.4	N	0.27	1.8	NNW	20.2	21.2	21.2	---	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.013	25.8	56	16.4	26.2	10.11	 .0721	0.00	---	---	229	2	100.0	10
01/11/12	4:50	20.3	20.3	20.2	85	17.7	0.0	WNW	0.00	0.4	WNW	20.3	21.3	21.3	---	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	25.8	56	16.4	26.2	10.11	 .0721	0.00	---	---	229	2	100.0	10
01/11/12	5:00	20.3	20.5	20.3	87	18.0	0.4	NW	0.27	1.8	NW	20.3	21.2	21.2	---	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	25.8	56	16.4	26.2	10.11	 .0721	0.00	---	---	226	2	100.0	10
01/11/12	5:10	20.2	20.3	20.2	87	17.9	0.0	NW	0.00	0.4	NW	20.2	21.1	21.1	---	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.013	25.8	56	16.4	26.2	10.11	 .0721	0.00	---	---	228	2	100.0	10
