		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/10/12	0:10	13.4	13.4	13.2	83	10.6	0.0	NNE	0.00	1.8	NNW	13.4	13.3	13.3	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	19.3	57	10.6	18.9	10.61	 .0748	0.00	---	---	228	2	100.0	10
01/10/12	0:20	13.4	13.6	13.4	82	10.4	0.4	NNE	0.27	2.2	N	13.4	13.3	13.3	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	19.3	57	10.6	18.9	10.61	 .0748	0.00	---	---	228	2	100.0	10
01/10/12	0:30	13.2	13.4	13.2	82	10.2	0.4	N	0.27	2.2	NNW	13.2	13.1	13.1	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	19.3	57	10.6	18.9	10.61	 .0748	0.00	---	---	226	2	100.0	10
01/10/12	0:40	13.2	13.3	13.2	82	10.2	0.0	N	0.00	1.3	N	13.2	13.1	13.1	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	19.3	57	10.6	18.9	10.61	 .0748	0.00	---	---	227	2	100.0	10
01/10/12	0:50	13.2	13.3	13.2	81	10.0	0.4	N	0.27	1.3	N	13.2	13.1	13.1	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	19.3	57	10.6	18.9	10.61	 .0748	0.00	---	---	229	2	100.0	10
01/10/12	1:00	13.1	13.3	13.1	82	10.1	0.4	N	0.27	1.8	N	13.1	12.9	12.9	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	19.3	57	10.5	18.8	10.62	 .0748	0.00	---	---	227	2	100.0	10
01/10/12	1:10	12.9	13.1	12.9	84	10.2	0.4	N	0.27	1.8	N	12.9	12.8	12.8	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	19.3	57	10.5	18.8	10.62	 .0748	0.00	---	---	229	2	100.0	10
01/10/12	1:20	12.7	12.9	12.7	83	9.9	0.4	N	0.27	2.2	N	12.7	12.6	12.6	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	19.3	57	10.5	18.8	10.62	 .0748	0.00	---	---	226	2	100.0	10
01/10/12	1:30	13.1	13.1	12.7	82	10.1	0.0	NNW	0.00	1.8	NNW	13.1	12.9	12.9	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	19.3	57	10.5	18.8	10.62	 .0748	0.00	---	---	229	2	100.0	10
