		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/09/12	0:10	12.7	13.6	12.7	82	9.7	0.9	N	0.54	2.2	N	12.7	12.6	12.6	---	1020.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	19.9	56	10.8	19.5	10.39	 .0748	0.00	---	---	227	2	100.0	10
01/09/12	0:20	12.0	12.7	12.0	85	9.6	0.4	N	0.27	2.2	N	12.0	11.9	11.9	---	1020.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	19.9	56	10.8	19.5	10.39	 .0748	0.00	---	---	229	2	100.0	10
01/09/12	0:30	12.1	12.2	12.0	85	9.7	0.9	N	0.54	1.8	N	12.1	12.1	12.1	---	1020.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	20.2	55	10.8	19.7	10.18	 .0747	0.00	---	---	128	2	57.7	10
01/09/12	0:40	11.7	12.1	11.7	84	9.1	0.9	NNW	0.54	4.0	NW	11.7	11.7	11.7	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	19.9	56	10.8	19.5	10.39	 .0748	0.00	---	---	219	2	98.6	10
01/09/12	0:50	12.1	12.1	11.5	84	9.4	0.9	NNW	0.54	3.1	NW	12.1	12.0	12.0	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	19.8	56	10.7	19.4	10.40	 .0748	0.00	---	---	229	2	100.0	10
01/09/12	1:00	13.2	13.2	12.1	80	9.8	0.9	NNW	0.54	3.1	W	13.2	13.1	13.1	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	19.8	56	10.7	19.4	10.40	 .0748	0.00	---	---	227	2	100.0	10
01/09/12	1:10	13.1	13.3	13.1	80	9.7	0.4	NE	0.27	2.7	NNE	13.1	12.9	12.9	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	19.8	56	10.7	19.4	10.40	 .0748	0.00	---	---	229	2	100.0	10
01/09/12	1:20	12.8	13.1	12.8	81	9.7	0.4	N	0.27	1.8	NE	12.8	12.7	12.7	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	19.7	56	10.7	19.3	10.40	 .0748	0.00	---	---	228	2	100.0	10
01/09/12	1:30	12.3	12.8	12.3	83	9.5	0.4	NNW	0.27	2.2	NNW	12.3	12.2	12.2	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	19.7	56	10.7	19.3	10.40	 .0748	0.00	---	---	228	2	100.0	10
01/09/12	1:40	12.6	12.6	12.3	82	9.6	0.9	NNW	0.54	2.2	NNW	12.6	12.4	12.4	---	1020.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	19.7	56	10.7	19.3	10.40	 .0749	0.00	---	---	229	2	100.0	10
01/09/12	1:50	12.6	12.7	12.6	82	9.6	0.4	NNW	0.27	2.2	N	12.6	12.5	12.5	---	1020.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	19.7	56	10.7	19.3	10.40	 .0749	0.00	---	---	228	2	100.0	10
01/09/12	2:00	12.8	12.8	12.6	81	9.6	0.4	NNW	0.27	1.8	NNW	12.8	12.6	12.6	---	1020.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	19.7	56	10.7	19.3	10.40	 .0749	0.00	---	---	229	2	100.0	10
