		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 2	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/12/13	0:10	20.8	20.8	20.8	92	19.4	0.0	N	0.00	0.4	N	20.8	22.0	22.0	---	1014.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	68	18.7	25.9	12.47	 .0724	0.00	2	25.6	15	25.6	222	2	100.0	10
01/12/13	0:20	20.8	20.8	20.8	92	19.4	0.0	N	0.00	0.4	N	20.8	22.0	22.0	---	1013.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	68	18.7	25.9	12.47	 .0724	0.00	2	25.6	15	25.6	224	2	100.0	10
01/12/13	0:30	20.8	20.8	20.7	92	19.4	0.0	N	0.00	0.4	N	20.8	22.0	22.0	---	1013.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	68	18.7	25.9	12.47	 .0724	0.00	2	25.6	15	25.6	223	2	100.0	10
01/12/13	0:40	20.8	20.8	20.8	92	19.5	0.0	N	0.00	0.4	N	20.8	22.1	22.1	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	68	18.7	25.9	12.47	 .0724	0.00	2	25.6	15	25.6	223	2	100.0	10
01/12/13	0:50	20.8	20.8	20.8	92	19.4	0.0	---	0.00	0.0	---	20.8	22.0	22.0	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	68	18.7	25.9	12.47	 .0724	0.00	2	25.6	15	25.6	222	2	100.0	10
01/12/13	1:00	20.7	20.8	20.7	93	19.5	0.0	N	0.00	0.4	N	20.7	21.9	21.9	---	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	69	18.9	26.0	12.67	 .0724	0.00	2	25.6	15	25.6	224	2	100.0	10
01/12/13	1:10	20.8	20.8	20.7	92	19.4	0.0	N	0.00	0.4	N	20.8	22.0	22.0	---	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	25.0	69	18.9	26.0	12.67	 .0724	0.00	2	25.6	15	25.6	228	2	100.0	10
01/12/13	1:20	20.7	20.8	20.7	92	19.3	0.0	N	0.00	1.3	N	20.7	21.8	21.8	---	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.016	24.9	69	18.8	25.9	12.68	 .0724	0.00	2	25.6	15	25.6	228	2	100.0	10
01/12/13	1:30	20.7	20.7	20.6	92	19.4	0.0	N	0.00	1.3	N	20.7	21.9	21.9	---	1013.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	24.9	69	18.8	25.9	12.68	 .0724	0.00	2	25.0	15	25.0	229	2	100.0	10
