		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 2	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/09/13	0:10	13.2	13.5	13.2	79	9.6	0.0	N	0.00	1.8	N	13.2	12.9	12.9	---	1019.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	20.8	51	10.3	20.0	9.46	 .0746	0.00	---	---	---	---	227	2	100.0	10
01/09/13	0:20	13.7	13.7	13.2	77	9.7	0.0	N	0.00	1.3	N	13.7	13.4	13.4	---	1019.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	20.7	52	10.5	19.9	9.67	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/09/13	0:30	14.2	14.2	13.7	74	9.7	0.4	NE	0.27	2.7	ENE	14.2	13.9	13.9	---	1019.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	20.7	51	10.2	19.9	9.47	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/09/13	0:40	13.8	14.3	13.8	79	10.3	0.4	N	0.27	2.2	NNE	13.8	13.7	13.7	---	1019.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.031	0.000	20.6	51	10.1	19.8	9.47	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/09/13	0:50	13.3	13.8	13.3	78	9.6	0.9	NNW	0.54	2.2	N	13.3	13.1	13.1	---	1019.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	20.6	51	10.1	19.8	9.47	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/09/13	1:00	13.5	13.5	13.3	75	9.2	0.0	ESE	0.00	1.8	NNW	13.5	13.2	13.2	---	1019.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	20.7	51	10.2	19.9	9.47	 .0746	0.00	---	---	---	---	227	2	100.0	10
01/09/13	1:10	13.4	13.8	13.4	77	9.4	0.9	N	0.54	2.2	E	13.4	13.1	13.1	---	1019.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	20.5	51	10.0	19.8	9.47	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/09/13	1:20	12.8	13.4	12.8	81	9.7	0.4	WNW	0.27	1.8	N	12.8	12.7	12.7	---	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	20.6	51	10.1	19.8	9.47	 .0746	0.00	---	---	---	---	206	2	92.8	10
01/09/13	1:30	12.3	12.8	12.3	83	9.5	0.0	WNW	0.00	1.8	WNW	12.3	12.2	12.2	---	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	20.5	51	10.0	19.8	9.47	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/09/13	1:40	11.9	12.3	11.9	85	9.4	0.0	WNW	0.00	0.9	WNW	11.9	11.8	11.8	---	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	20.5	51	10.0	19.8	9.47	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/09/13	1:50	11.7	11.9	11.7	85	9.2	0.4	NW	0.27	2.2	NW	11.7	11.6	11.6	---	1018.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	20.6	51	10.1	19.8	9.47	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/09/13	2:00	11.5	11.7	11.5	87	9.4	0.4	NNW	0.27	1.8	NNW	11.5	11.5	11.5	---	1018.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.4	52	10.2	19.7	9.68	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/09/13	2:10	11.3	11.5	11.3	87	9.2	0.0	N	0.00	0.9	N	11.3	11.3	11.3	---	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.049	0.000	20.5	52	10.3	19.8	9.67	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/09/13	2:20	11.2	11.3	11.1	88	9.3	0.4	N	0.27	1.8	N	11.2	11.2	11.2	---	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.050	0.000	20.3	52	10.1	19.6	9.68	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/09/13	2:30	11.2	11.2	11.2	88	9.3	0.0	N	0.00	2.2	N	11.2	11.2	11.2	---	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.050	0.000	20.3	52	10.1	19.6	9.68	 .0746	0.00	---	---	---	---	227	2	100.0	10
