		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 2	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/08/14	0:10	12.8	12.9	12.8	79	9.2	0.4	E	0.27	2.7	E	12.8	12.6	12.6	---	1022.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	18.5	58	10.1	18.0	10.75	 .0754	0.00	---	---	---	---	229	2	100.0	10
01/08/14	0:20	12.3	12.8	12.3	81	9.2	0.4	ENE	0.27	1.8	ENE	12.3	12.2	12.2	---	1022.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	18.4	58	10.0	17.9	10.75	 .0754	0.00	---	---	---	---	227	2	100.0	10
01/08/14	0:30	11.6	12.3	11.6	84	9.0	0.9	NNE	0.54	3.1	NE	11.6	11.6	11.6	---	1022.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	18.6	58	10.1	18.1	10.75	 .0753	0.00	---	---	---	---	229	2	100.0	10
01/08/14	0:40	11.7	11.7	11.4	84	9.1	0.4	W	0.27	2.2	NNE	11.7	11.6	11.6	---	1022.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	18.4	58	10.0	17.9	10.75	 .0754	0.00	---	---	---	---	228	2	100.0	10
01/08/14	0:50	11.5	11.8	11.5	84	8.9	0.4	NNE	0.27	3.1	NNE	11.5	11.4	11.4	---	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	18.4	58	10.0	17.9	10.75	 .0754	0.00	---	---	---	---	229	2	100.0	10
01/08/14	1:00	11.5	11.6	11.4	84	8.9	0.9	N	0.54	2.7	NNE	11.5	11.4	11.4	---	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	18.4	58	10.0	17.9	10.75	 .0754	0.00	---	---	---	---	229	2	100.0	10
01/08/14	1:10	11.3	11.5	11.3	84	8.7	0.4	NNE	0.27	1.8	NNE	11.3	11.2	11.2	---	1022.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.049	0.000	18.4	58	10.0	17.9	10.75	 .0754	0.00	---	---	---	---	225	2	100.0	10
01/08/14	1:20	10.8	11.3	10.8	85	8.4	0.4	NNE	0.27	1.8	NNE	10.8	10.8	10.8	---	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.052	0.000	18.5	57	9.8	17.9	10.64	 .0754	0.00	---	---	---	---	228	2	100.0	10
01/08/14	1:30	10.1	10.8	10.1	87	8.0	0.0	NNW	0.00	0.9	NNW	10.1	10.2	10.2	---	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.057	0.000	18.3	58	9.9	17.7	10.75	 .0754	0.00	---	---	---	---	227	2	100.0	10
