		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 2	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/06/14	0:10	11.9	12.0	11.9	93	10.8	0.0	NW	0.00	1.8	NW	11.9	12.0	12.0	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	20.9	57	12.1	20.4	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	0:20	11.6	11.9	11.6	93	10.5	0.0	NW	0.00	1.8	NW	11.6	11.7	11.7	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.9	57	12.1	20.4	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	0:30	11.5	11.6	11.5	94	10.6	0.0	NW	0.00	1.8	N	11.5	11.7	11.7	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.9	57	12.0	20.3	10.56	 .0743	0.00	---	---	---	---	229	2	100.0	10
01/06/14	0:40	11.4	11.5	11.4	93	10.3	0.0	N	0.00	1.8	N	11.4	11.5	11.5	---	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	20.9	57	12.0	20.3	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	0:50	11.3	11.4	11.3	94	10.4	0.0	NNW	0.00	0.9	NNW	11.3	11.5	11.5	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.049	0.000	20.9	57	12.1	20.4	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	1:00	11.6	11.6	11.3	94	10.6	0.0	N	0.00	1.8	N	11.6	11.7	11.7	---	1017.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.8	57	11.9	20.3	10.56	 .0743	0.00	---	---	---	---	229	2	100.0	10
01/06/14	1:10	11.5	11.6	11.5	94	10.6	0.0	N	0.00	0.9	N	11.5	11.7	11.7	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.9	57	12.0	20.3	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	1:20	11.8	11.8	11.4	94	10.9	0.4	NW	0.27	2.2	NW	11.8	11.9	11.9	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	20.8	57	11.9	20.3	10.56	 .0743	0.00	---	---	---	---	229	2	100.0	10
01/06/14	1:30	11.7	11.9	11.7	92	10.5	0.4	NNE	0.27	1.8	NNE	11.7	11.8	11.8	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	20.8	57	11.9	20.3	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	1:40	11.6	11.7	11.6	93	10.5	0.0	N	0.00	1.3	N	11.6	11.7	11.7	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.9	57	12.1	20.4	10.56	 .0742	0.00	---	---	---	---	228	2	100.0	10
01/06/14	1:50	11.4	11.6	11.4	93	10.3	0.0	N	0.00	0.9	N	11.4	11.5	11.5	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	20.8	57	11.9	20.3	10.56	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	2:00	11.4	11.4	11.3	94	10.5	0.0	NW	0.00	2.2	NNW	11.4	11.6	11.6	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	20.8	57	11.9	20.3	10.56	 .0743	0.00	---	---	---	---	229	2	100.0	10
01/06/14	2:10	11.3	11.4	11.3	94	10.4	0.0	NW	0.00	0.4	NW	11.3	11.5	11.5	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.049	0.000	20.7	57	11.8	20.2	10.57	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	2:20	11.4	11.4	11.2	94	10.5	0.0	NW	0.00	0.4	NW	11.4	11.6	11.6	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	20.7	57	11.8	20.2	10.57	 .0743	0.00	---	---	---	---	228	2	100.0	10
01/06/14	2:30	11.6	11.6	11.4	94	10.7	0.0	NNW	0.00	2.2	NNW	11.6	11.8	11.8	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	20.8	57	11.9	20.3	10.56	 .0743	0.00	---	---	---	---	229	2	100.0	10
01/06/14	2:40	11.4	11.6	11.4	92	10.2	0.0	NNW	0.00	1.8	N	11.4	11.6	11.6	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	20.7	57	11.8	20.2	10.57	 .0743	0.00	---	---	---	---	228	2	100.0	10
