		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/11/14	0:10	21.4	21.7	21.4	79	17.6	0.0	NNE	0.00	0.4	NNE	21.4	22.1	22.1	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	25.0	61	17.0	25.5	11.01	 .0726	0.00	---	---	---	---	178	2	80.2	10
01/11/14	0:20	21.0	21.4	21.0	80	17.4	0.0	NNE	0.00	0.4	NNE	21.0	21.7	21.7	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	24.9	61	16.9	25.4	11.01	 .0727	0.00	---	---	---	---	226	2	100.0	10
01/11/14	0:30	20.9	21.0	20.9	80	17.3	0.0	NNE	0.00	0.4	NNE	20.9	21.6	21.6	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.018	25.0	61	17.0	25.5	11.01	 .0726	0.00	---	---	---	---	224	2	100.0	10
01/11/14	0:40	20.8	20.9	20.8	81	17.4	0.0	---	0.00	0.0	---	20.8	21.6	21.6	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	24.9	61	16.9	25.4	11.01	 .0727	0.00	---	---	---	---	223	2	100.0	10
01/11/14	0:50	20.8	20.8	20.8	81	17.4	0.0	NNE	0.00	0.4	NNE	20.8	21.6	21.6	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	24.9	61	16.9	25.4	11.01	 .0727	0.00	---	---	---	---	223	2	100.0	10
01/11/14	1:00	20.6	20.8	20.6	83	17.6	0.0	NE	0.00	1.3	NE	20.6	21.5	21.5	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	25.1	61	17.1	25.6	11.01	 .0726	0.00	---	---	---	---	227	2	100.0	10
01/11/14	1:10	20.4	20.5	20.4	83	17.4	0.0	NNE	0.00	0.4	NNE	20.4	21.3	21.3	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	24.9	61	16.9	25.4	11.01	 .0727	0.00	---	---	---	---	223	2	100.0	10
01/11/14	1:20	20.3	20.4	20.3	83	17.3	0.0	NNE	0.00	0.4	NNE	20.3	21.2	21.2	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	25.0	61	17.0	25.5	11.01	 .0726	0.00	---	---	---	---	224	2	100.0	10
01/11/14	1:30	20.3	20.3	20.2	83	17.3	0.0	NNE	0.00	0.4	NNE	20.3	21.2	21.2	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	24.9	61	16.9	25.4	11.01	 .0726	0.00	---	---	---	---	225	2	100.0	10
01/11/14	1:40	20.4	20.4	20.2	84	17.6	0.0	NNE	0.00	0.9	NNE	20.4	21.3	21.3	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	24.9	61	16.9	25.4	11.01	 .0726	0.00	---	---	---	---	224	2	100.0	10
01/11/14	1:50	20.5	20.5	20.4	83	17.5	0.0	E	0.00	1.3	E	20.5	21.4	21.4	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	25.0	61	17.0	25.5	11.01	 .0726	0.00	---	---	---	---	224	2	100.0	10
01/11/14	2:00	20.4	20.5	20.4	83	17.5	0.0	---	0.00	0.0	---	20.4	21.3	21.3	---	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	24.9	61	16.9	25.4	11.01	 .0726	0.00	---	---	---	---	224	2	100.0	10
01/11/14	2:10	20.4	20.5	20.4	82	17.3	0.0	ENE	0.00	1.3	ENE	20.4	21.3	21.3	---	1014.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.015	24.9	61	16.9	25.4	11.01	 .0726	0.00	---	---	---	---	223	2	100.0	10
01/11/14	2:20	20.4	20.4	20.4	82	17.2	0.0	ENE	0.00	0.9	ENE	20.4	21.2	21.2	---	1013.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	24.8	62	17.0	25.3	11.22	 .0726	0.00	---	---	---	---	224	2	100.0	10
01/11/14	2:30	20.3	20.4	20.3	84	17.5	0.0	ENE	0.00	1.3	ENE	20.3	21.2	21.2	---	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	24.8	61	16.7	25.3	11.02	 .0727	0.00	---	---	---	---	223	2	100.0	10
