		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 2	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/09/14	0:10	17.3	17.5	17.3	89	15.5	0.0	SSW	0.00	0.4	SSW	17.3	17.7	17.7	---	1017.5	0.20	3.0	0	0.00	0	0.0	0.00	0.0	0.007	0.000	22.4	62	14.8	22.6	11.30	 .0737	0.00	---	---	---	---	229	2	100.0	10
01/09/14	0:20	17.2	17.3	17.1	88	15.2	0.0	ESE	0.00	1.3	ESE	17.2	17.5	17.5	---	1017.4	0.00	0.8	0	0.00	0	0.0	0.00	0.0	0.008	0.000	22.6	62	14.9	22.7	11.30	 .0736	0.00	---	---	---	---	228	2	100.0	10
01/09/14	0:30	16.9	17.2	16.9	88	14.9	0.0	SSW	0.00	1.8	SSW	16.9	17.2	17.2	---	1017.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.010	0.000	22.4	62	14.8	22.6	11.30	 .0736	0.00	---	---	---	---	229	2	100.0	10
01/09/14	0:40	16.8	16.9	16.8	91	15.3	0.0	SSW	0.00	0.4	SSW	16.8	17.1	17.1	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.011	0.000	22.4	62	14.8	22.6	11.30	 .0737	0.00	---	---	---	---	225	2	100.0	10
01/09/14	0:50	16.6	16.8	16.6	92	15.3	0.0	SW	0.00	0.9	SW	16.6	16.9	16.9	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	22.6	62	14.9	22.7	11.30	 .0736	0.00	---	---	---	---	229	2	100.0	10
01/09/14	1:00	16.4	16.6	16.4	93	15.3	0.0	SW	0.00	0.4	SW	16.4	16.8	16.8	---	1017.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.4	62	14.8	22.6	11.30	 .0736	0.00	---	---	---	---	228	2	100.0	10
01/09/14	1:10	16.3	16.4	16.3	93	15.2	0.0	SW	0.00	0.9	SW	16.3	16.6	16.6	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.6	62	14.9	22.7	11.30	 .0736	0.00	---	---	---	---	228	2	100.0	10
01/09/14	1:20	16.4	16.4	16.3	92	15.1	0.0	SW	0.00	0.4	SW	16.4	16.7	16.7	---	1018.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.4	62	14.7	22.5	11.30	 .0737	0.00	---	---	---	---	229	2	100.0	10
01/09/14	1:30	16.6	16.6	16.4	91	15.1	0.0	W	0.00	1.8	W	16.6	16.8	16.8	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	22.4	62	14.8	22.6	11.30	 .0737	0.00	---	---	---	---	228	2	100.0	10
01/09/14	1:40	16.6	16.7	16.6	92	15.3	0.0	NW	0.00	0.4	NW	16.6	16.9	16.9	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	22.4	62	14.7	22.5	11.30	 .0737	0.00	---	---	---	---	228	2	100.0	10
01/09/14	1:50	16.4	16.6	16.4	93	15.3	0.0	NW	0.00	0.4	NW	16.4	16.8	16.8	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.4	62	14.7	22.5	11.30	 .0737	0.00	---	---	---	---	227	2	100.0	10
01/09/14	2:00	16.4	16.4	16.4	92	15.1	0.0	NW	0.00	0.4	NW	16.4	16.7	16.7	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.6	62	14.9	22.7	11.30	 .0736	0.00	---	---	---	---	229	2	100.0	10
01/09/14	2:10	16.4	16.5	16.4	93	15.3	0.0	NW	0.00	0.4	NW	16.4	16.8	16.8	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.4	62	14.7	22.5	11.30	 .0737	0.00	---	---	---	---	229	2	100.0	10
01/09/14	2:20	16.5	16.5	16.4	93	15.4	0.0	---	0.00	0.0	---	16.5	16.8	16.8	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.4	62	14.8	22.6	11.30	 .0737	0.00	---	---	---	---	228	2	100.0	10
01/09/14	2:30	16.6	16.6	16.5	94	15.6	0.0	NW	0.00	0.4	NW	16.6	16.9	16.9	---	1017.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	22.4	62	14.7	22.5	11.30	 .0737	0.00	---	---	---	---	229	2	100.0	10
01/09/14	2:40	16.3	16.6	16.3	93	15.2	0.0	NNW	0.00	1.8	NNW	16.3	16.6	16.6	---	1017.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.4	62	14.7	22.5	11.30	 .0736	0.00	---	---	---	---	228	2	100.0	10
01/09/14	2:50	16.2	16.4	16.2	94	15.3	0.0	NNW	0.00	0.4	NNW	16.2	16.5	16.5	---	1016.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.6	62	14.9	22.7	11.30	 .0736	0.00	---	---	---	---	228	2	100.0	10
01/09/14	3:00	16.1	16.2	16.1	94	15.1	0.0	---	0.00	0.0	---	16.1	16.4	16.4	---	1016.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.4	62	14.7	22.5	11.30	 .0736	0.00	---	---	---	---	228	2	100.0	10
01/09/14	3:10	16.2	16.2	16.1	94	15.2	0.0	NNW	0.00	0.4	NNW	16.2	16.4	16.4	---	1016.3	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.4	62	14.7	22.5	11.30	 .0736	0.00	---	---	---	---	226	2	100.0	10
01/09/14	3:20	16.2	16.2	16.2	94	15.3	0.0	NNW	0.00	0.4	NNW	16.2	16.5	16.5	---	1016.9	0.80	30.2	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.3	63	14.9	22.4	11.51	 .0737	0.00	---	---	---	---	228	2	100.0	10
