		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/08/15	0:10	14.3	14.3	14.0	84	11.6	0.0	NW	0.00	2.2	NW	14.3	14.2	14.2	---	1023.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.028	0.000	20.3	61	12.5	20.1	11.25	 .0748	0.00	---	---	---	---	222	2	100.0	10
01/08/15	0:20	14.1	14.3	14.1	85	11.6	0.4	NNE	0.27	1.8	NNE	14.1	14.1	14.1	---	1023.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	20.1	61	12.4	19.9	11.25	 .0749	0.00	---	---	---	---	225	2	100.0	10
01/08/15	0:30	14.1	14.2	14.1	85	11.6	0.0	N	0.00	2.7	N	14.1	14.0	14.0	---	1023.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.030	0.000	20.1	61	12.4	19.9	11.25	 .0749	0.00	---	---	---	---	222	2	100.0	10
01/08/15	0:40	13.8	14.1	13.7	86	11.5	0.0	NNE	0.00	1.3	NNE	13.8	13.7	13.7	---	1023.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	20.0	62	12.5	19.9	11.39	 .0749	0.00	---	---	---	---	223	2	100.0	10
01/08/15	0:50	13.6	13.8	13.6	86	11.3	0.4	NNW	0.27	3.6	NNE	13.6	13.5	13.5	---	1023.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.033	0.000	20.1	61	12.4	19.9	11.25	 .0748	0.00	---	---	---	---	221	2	99.5	10
01/08/15	1:00	13.7	13.7	13.6	86	11.4	0.4	NNE	0.27	2.2	N	13.7	13.6	13.6	---	1023.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	20.2	61	12.5	20.1	11.25	 .0748	0.00	---	---	---	---	222	2	100.0	10
01/08/15	1:10	13.7	13.7	13.7	86	11.4	0.0	N	0.00	2.2	WNW	13.7	13.7	13.7	---	1023.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	20.0	61	12.2	19.9	11.25	 .0749	0.00	---	---	---	---	218	2	98.2	10
01/08/15	1:20	13.8	13.9	13.7	85	11.4	0.4	N	0.27	2.2	N	13.8	13.8	13.8	---	1022.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.031	0.000	20.1	61	12.4	19.9	11.25	 .0748	0.00	---	---	---	---	222	2	100.0	10
01/08/15	1:30	13.1	13.8	13.1	86	10.8	0.4	NE	0.27	2.2	NE	13.1	13.1	13.1	---	1022.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	19.9	61	12.2	19.8	11.25	 .0749	0.00	---	---	---	---	223	2	100.0	10
01/08/15	1:40	13.2	13.2	13.0	88	11.2	0.4	N	0.27	2.2	ESE	13.2	13.2	13.2	---	1022.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	19.8	62	12.3	19.7	11.40	 .0749	0.00	---	---	---	---	222	2	100.0	10
01/08/15	1:50	13.4	13.4	13.2	86	11.1	0.0	NNW	0.00	0.9	NNW	13.4	13.4	13.4	---	1022.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	20.1	61	12.4	19.9	11.25	 .0748	0.00	---	---	---	---	223	2	100.0	10
01/08/15	2:00	13.5	13.5	13.4	86	11.2	0.4	NE	0.27	2.2	ENE	13.5	13.4	13.4	---	1022.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	19.9	61	12.2	19.8	11.25	 .0749	0.00	---	---	---	---	219	2	98.6	10
01/08/15	2:10	13.2	13.6	13.2	85	10.7	0.0	SSW	0.00	0.9	SSW	13.2	13.1	13.1	---	1022.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	19.9	61	12.2	19.8	11.25	 .0749	0.00	---	---	---	---	223	2	100.0	10
01/08/15	2:20	12.3	13.1	12.3	88	10.3	0.0	SSW	0.00	0.4	SSW	12.3	12.3	12.3	---	1022.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	19.8	61	12.1	19.7	11.25	 .0749	0.00	---	---	---	---	219	2	98.6	10
01/08/15	2:30	11.8	12.3	11.8	90	10.2	0.0	NNW	0.00	0.9	NNW	11.8	11.9	11.9	---	1022.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	19.9	61	12.2	19.8	11.25	 .0749	0.00	---	---	---	---	225	2	100.0	10
01/08/15	2:40	11.4	11.8	11.4	91	10.0	0.0	N	0.00	1.8	N	11.4	11.5	11.5	---	1022.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	20.0	61	12.2	19.9	11.25	 .0748	0.00	---	---	---	---	225	2	100.0	10
01/08/15	2:50	11.4	11.4	11.3	92	10.2	0.0	N	0.00	2.7	NNE	11.4	11.6	11.6	---	1022.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	19.8	61	12.1	19.7	11.25	 .0749	0.00	---	---	---	---	223	2	100.0	10
01/08/15	3:00	11.3	11.4	11.3	92	10.0	0.0	NNE	0.00	2.2	NNE	11.3	11.4	11.4	---	1022.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.049	0.000	19.9	61	12.2	19.8	11.25	 .0748	0.00	---	---	---	---	219	2	98.6	10
01/08/15	3:10	11.4	11.4	11.3	92	10.1	0.0	NNW	0.00	1.8	NW	11.4	11.5	11.5	---	1021.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	19.8	61	12.1	19.7	11.25	 .0748	0.00	---	---	---	---	198	2	89.2	10
01/08/15	3:20	11.6	11.6	11.4	92	10.4	0.0	NNW	0.00	1.8	NNW	11.6	11.7	11.7	---	1021.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	19.8	61	12.1	19.7	11.25	 .0748	0.00	---	---	---	---	217	2	97.7	10
01/08/15	3:30	11.9	11.9	11.6	91	10.5	0.4	NNE	0.27	2.2	N	11.9	12.0	12.0	---	1021.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	19.7	61	12.0	19.6	11.25	 .0749	0.00	---	---	---	---	218	2	98.2	10
01/08/15	3:40	12.6	12.6	12.0	88	10.7	0.0	NNE	0.00	1.8	SE	12.6	12.6	12.6	---	1021.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	19.7	61	12.0	19.6	11.25	 .0749	0.00	---	---	---	---	222	2	100.0	10
01/08/15	3:50	12.7	12.7	12.6	88	10.8	0.0	NNW	0.00	3.1	NNW	12.7	12.7	12.7	---	1021.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	19.9	60	11.9	19.8	11.05	 .0748	0.00	---	---	---	---	222	2	100.0	10
01/08/15	4:00	12.2	12.8	12.2	86	9.9	0.0	N	0.00	2.2	WNW	12.2	12.2	12.2	---	1021.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	19.7	61	12.0	19.6	11.25	 .0749	0.00	---	---	---	---	221	2	99.5	10
01/08/15	4:10	11.7	12.2	11.7	89	9.9	0.0	NW	0.00	1.8	NW	11.7	11.7	11.7	---	1021.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	19.7	60	11.7	19.5	11.05	 .0749	0.00	---	---	---	---	222	2	100.0	10
01/08/15	4:20	11.4	11.7	11.3	91	10.0	0.0	NNW	0.00	0.9	NNW	11.4	11.5	11.5	---	1021.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.048	0.000	19.7	60	11.7	19.5	11.05	 .0749	0.00	---	---	---	---	221	2	99.5	10
