		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/07/15	0:10	13.1	13.1	13.1	94	12.1	0.0	---	0.00	0.0	---	13.1	13.2	13.2	---	1021.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	20.5	64	13.5	20.4	11.67	 .0745	0.00	---	---	---	---	227	2	100.0	10
01/07/15	0:20	12.9	13.1	12.9	94	11.9	0.0	---	0.00	0.0	---	12.9	13.0	13.0	---	1021.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	20.5	64	13.5	20.4	11.67	 .0745	0.00	---	---	---	---	229	2	100.0	10
01/07/15	0:30	12.7	12.9	12.7	94	11.8	0.0	---	0.00	0.0	---	12.7	12.8	12.8	---	1021.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	20.5	64	13.5	20.4	11.67	 .0745	0.00	---	---	---	---	228	2	100.0	10
01/07/15	0:40	12.7	12.7	12.7	95	11.9	0.0	NNW	0.00	0.4	NNW	12.7	12.8	12.8	---	1021.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	20.4	64	13.3	20.3	11.68	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/07/15	0:50	12.7	12.7	12.7	95	11.9	0.0	---	0.00	0.0	---	12.7	12.8	12.8	---	1021.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	20.5	64	13.5	20.4	11.67	 .0745	0.00	---	---	---	---	228	2	100.0	10
01/07/15	1:00	12.7	12.7	12.7	95	11.9	0.0	---	0.00	0.0	---	12.7	12.8	12.8	---	1021.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	20.4	64	13.3	20.3	11.68	 .0745	0.00	---	---	---	---	228	2	100.0	10
01/07/15	1:10	12.6	12.7	12.6	95	11.8	0.0	---	0.00	0.0	---	12.6	12.7	12.7	---	1020.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	20.4	64	13.3	20.3	11.68	 .0745	0.00	---	---	---	---	228	2	100.0	10
01/07/15	1:20	12.5	12.6	12.5	94	11.6	0.0	NNW	0.00	0.4	NNW	12.5	12.6	12.6	---	1020.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.3	64	13.2	20.2	11.68	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/07/15	1:30	12.3	12.5	12.3	95	11.6	0.0	---	0.00	0.0	---	12.3	12.4	12.4	---	1020.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	20.3	64	13.2	20.2	11.68	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/07/15	1:40	12.3	12.4	12.3	95	11.6	0.0	NNW	0.00	0.4	NNW	12.3	12.4	12.4	---	1020.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	20.4	63	13.1	20.3	11.58	 .0745	0.00	---	---	---	---	227	2	100.0	10
01/07/15	1:50	12.4	12.4	12.3	95	11.6	0.0	---	0.00	0.0	---	12.4	12.5	12.5	---	1020.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.2	64	13.2	20.2	11.68	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/07/15	2:00	12.4	12.4	12.4	95	11.6	0.0	---	0.00	0.0	---	12.4	12.5	12.5	---	1020.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.2	63	12.9	20.2	11.58	 .0746	0.00	---	---	---	---	227	2	100.0	10
01/07/15	2:10	12.4	12.4	12.4	95	11.7	0.0	---	0.00	0.0	---	12.4	12.6	12.6	---	1020.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.1	64	13.1	20.1	11.69	 .0746	0.00	---	---	---	---	227	2	100.0	10
01/07/15	2:20	12.4	12.4	12.4	95	11.6	0.0	---	0.00	0.0	---	12.4	12.5	12.5	---	1020.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.1	63	12.8	20.1	11.59	 .0746	0.00	---	---	---	---	227	2	100.0	10
01/07/15	2:30	12.3	12.4	12.3	95	11.5	0.0	---	0.00	0.0	---	12.3	12.4	12.4	---	1020.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	20.4	63	13.1	20.3	11.58	 .0745	0.00	---	---	---	---	229	2	100.0	10
01/07/15	2:40	12.3	12.3	12.2	95	11.5	0.0	---	0.00	0.0	---	12.3	12.4	12.4	---	1020.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	20.1	63	12.8	20.1	11.59	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/07/15	2:50	12.4	12.4	12.3	95	11.6	0.0	---	0.00	0.0	---	12.4	12.5	12.5	---	1020.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.1	63	12.8	20.1	11.59	 .0746	0.00	---	---	---	---	228	2	100.0	10
01/07/15	3:00	12.5	12.5	12.4	96	11.9	0.0	---	0.00	0.0	---	12.5	12.6	12.6	---	1020.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	20.1	63	12.8	20.1	11.59	 .0746	0.00	---	---	---	---	229	2	100.0	10
01/07/15	3:10	12.7	12.7	12.5	95	11.9	0.0	---	0.00	0.0	---	12.7	12.8	12.8	---	1020.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	20.1	63	12.8	20.1	11.59	 .0746	0.00	---	---	---	---	227	2	100.0	10
01/07/15	3:20	12.8	12.8	12.7	95	12.0	0.0	---	0.00	0.0	---	12.8	12.9	12.9	---	1020.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	20.1	63	12.8	20.1	11.59	 .0746	0.00	---	---	---	---	228	2	100.0	10
