		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/06/15	0:10	14.6	14.6	14.5	96	13.9	0.0	---	0.00	0.0	---	14.6	14.7	14.7	---	1021.7	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.026	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	193	2	86.9	10
01/06/15	0:20	14.5	14.6	14.4	96	13.9	0.0	---	0.00	0.0	---	14.5	14.7	14.7	---	1021.6	0.20	0.8	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	207	2	93.2	10
01/06/15	0:30	14.5	14.5	14.4	96	13.9	0.0	---	0.00	0.0	---	14.5	14.7	14.7	---	1021.7	0.00	0.8	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0746	0.00	---	18.3	15	18.3	198	2	89.2	10
01/06/15	0:40	14.5	14.5	14.5	96	13.9	0.0	---	0.00	0.0	---	14.5	14.7	14.7	---	1021.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	199	2	89.6	10
01/06/15	0:50	14.5	14.5	14.5	96	13.9	0.0	---	0.00	0.0	---	14.5	14.7	14.7	---	1021.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	198	2	89.2	10
01/06/15	1:00	14.6	14.6	14.4	96	13.9	0.0	NW	0.00	0.4	NW	14.6	14.7	14.7	---	1021.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.026	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	193	2	86.9	10
01/06/15	1:10	14.5	14.6	14.5	96	13.9	0.0	SSW	0.00	0.4	SSW	14.5	14.7	14.7	---	1021.3	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	193	2	86.9	10
01/06/15	1:20	14.4	14.5	14.4	96	13.8	0.0	SSW	0.00	0.4	SSW	14.4	14.6	14.6	---	1021.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	168	2	75.7	10
01/06/15	1:30	14.5	14.5	14.4	96	13.9	0.0	---	0.00	0.0	---	14.5	14.7	14.7	---	1021.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.027	0.000	20.3	69	14.4	20.5	12.91	 .0745	0.00	---	18.3	15	18.3	186	2	83.8	10
