		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/05/15	0:10	16.6	16.6	16.5	81	13.3	0.9	SE	0.54	3.6	SSW	16.6	16.7	16.7	---	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	22.9	57	14.0	23.1	10.42	 .0736	0.00	---	21.7	0	21.7	225	2	100.0	10
01/05/15	0:20	16.5	16.6	16.5	81	13.2	0.4	SE	0.27	3.1	E	16.5	16.6	16.6	---	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.9	57	14.0	23.1	10.42	 .0736	0.00	---	21.7	0	21.7	226	2	100.0	10
01/05/15	0:30	16.4	16.5	16.4	81	13.2	0.4	S	0.27	2.7	SSE	16.4	16.5	16.5	---	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.9	57	14.0	23.1	10.42	 .0736	0.00	---	21.7	0	21.7	228	2	100.0	10
01/05/15	0:40	16.4	16.4	16.4	80	13.0	0.9	S	0.54	3.6	SSE	16.4	16.5	16.5	---	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.9	57	14.0	23.1	10.42	 .0736	0.00	---	21.7	0	21.7	227	2	100.0	10
01/05/15	0:50	16.4	16.4	16.4	80	12.9	0.4	SSE	0.27	2.7	SSW	16.4	16.4	16.4	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.8	57	13.8	22.9	10.43	 .0737	0.00	---	21.7	0	21.7	229	2	100.0	10
01/05/15	1:00	16.4	16.4	16.4	80	12.9	0.9	ESE	0.54	3.1	SE	16.4	16.4	16.4	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.8	57	13.8	22.9	10.43	 .0737	0.00	---	21.7	0	21.7	226	2	100.0	10
01/05/15	1:10	16.3	16.4	16.3	81	13.1	0.4	ESE	0.27	3.6	SE	16.3	16.4	16.4	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.7	57	13.7	22.7	10.44	 .0737	0.00	---	21.1	0	21.1	226	2	100.0	10
01/05/15	1:20	16.1	16.3	16.1	81	12.8	0.0	SE	0.00	2.7	SSE	16.1	16.1	16.1	---	1017.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.016	0.000	22.7	57	13.7	22.7	10.44	 .0737	0.00	---	21.1	0	21.1	226	2	100.0	10
01/05/15	1:30	15.8	16.1	15.8	83	12.9	0.0	NE	0.00	2.2	E	15.8	15.8	15.8	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.018	0.000	22.8	57	13.8	22.9	10.43	 .0737	0.00	---	21.1	0	21.1	227	2	100.0	10
01/05/15	1:40	15.0	15.8	15.0	85	12.5	0.4	NW	0.27	2.7	NW	15.0	15.0	15.0	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.023	0.000	22.8	57	13.8	22.9	10.43	 .0737	0.00	---	21.1	1	21.1	228	2	100.0	10
01/05/15	1:50	14.2	15.0	14.2	87	12.1	0.0	NNW	0.00	0.9	NNW	14.2	14.2	14.2	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	22.8	57	13.9	22.9	10.43	 .0736	0.00	---	21.1	1	21.1	227	2	100.0	10
01/05/15	2:00	13.9	14.2	13.9	90	12.3	0.0	NNW	0.00	0.9	NNW	13.9	14.0	14.0	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.030	0.000	22.8	57	13.9	22.9	10.43	 .0736	0.00	---	21.1	2	21.1	223	2	100.0	10
