		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/03/15	0:10	22.3	22.3	22.3	72	17.0	0.9	SSW	0.54	4.5	S	22.3	22.8	22.8	---	1015.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	24.7	63	17.2	25.2	11.42	 .0727	0.00	---	26.7	0	26.7	227	2	100.0	10
01/03/15	0:20	22.2	22.3	22.2	72	16.9	1.8	S	1.07	5.8	SSW	22.2	22.7	22.7	---	1015.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	24.6	63	17.1	25.2	11.42	 .0727	0.00	---	26.1	0	26.1	229	2	100.0	10
01/03/15	0:30	22.2	22.2	22.2	71	16.7	0.9	S	0.54	4.0	SSE	22.2	22.7	22.7	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	24.6	63	17.1	25.2	11.42	 .0727	0.00	---	26.1	0	26.1	228	2	100.0	10
01/03/15	0:40	22.1	22.2	22.1	71	16.6	1.3	SSE	0.80	5.4	ESE	22.1	22.5	22.5	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	24.6	63	17.1	25.2	11.42	 .0727	0.00	---	26.1	0	26.1	229	2	100.0	10
01/03/15	0:50	22.0	22.1	22.0	72	16.7	1.3	S	0.80	4.0	SE	22.0	22.4	22.4	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	24.5	63	17.0	25.1	11.43	 .0728	0.00	---	26.1	0	26.1	229	2	100.0	10
01/03/15	1:00	22.0	22.0	21.9	71	16.5	0.9	SSE	0.54	3.6	SSW	22.0	22.3	22.3	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	24.6	63	17.1	25.2	11.42	 .0727	0.03	---	26.1	0	26.1	227	2	100.0	10
01/03/15	1:10	22.1	22.1	22.0	71	16.6	0.9	S	0.54	2.7	SSW	22.1	22.4	22.4	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	24.6	62	16.8	25.1	11.22	 .0727	0.00	---	26.1	0	26.1	229	2	100.0	10
01/03/15	1:20	21.9	22.1	21.9	71	16.4	0.4	SSE	0.27	3.1	SSW	21.9	22.3	22.3	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	24.6	62	16.8	25.1	11.22	 .0727	0.00	---	26.1	0	26.1	228	2	100.0	10
01/03/15	1:30	21.9	21.9	21.9	70	16.2	0.9	S	0.54	2.7	S	21.9	22.2	22.2	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	24.5	62	16.7	25.0	11.23	 .0728	0.00	---	26.1	0	26.1	229	2	100.0	10
