		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/10/15	0:10	18.9	19.3	18.9	84	16.1	0.0	NNE	0.00	1.6	NNE	18.9	19.4	19.4	---	1015.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	24.9	60	16.6	25.3	10.88	 .0727	0.00	---	---	---	---	218	2	98.2	10
01/10/15	0:20	18.8	18.9	18.8	84	16.1	0.0	SSE	0.00	3.2	SSE	18.8	19.4	19.4	---	1015.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	24.7	61	16.6	25.1	11.02	 .0728	0.00	---	---	---	---	215	2	96.8	10
01/10/15	0:30	18.6	18.8	18.6	86	16.2	0.0	N	0.00	1.6	NE	18.6	19.1	19.1	---	1015.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	24.8	61	16.7	25.3	11.02	 .0727	0.00	---	---	---	---	217	2	97.7	10
01/10/15	0:40	18.3	18.6	18.3	87	16.1	0.0	NW	0.00	6.4	NW	18.3	18.8	18.8	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	24.7	61	16.6	25.1	11.02	 .0728	0.00	---	---	---	---	213	2	95.9	10
01/10/15	0:50	18.1	18.3	18.1	87	15.9	0.0	N	0.00	1.6	NNE	18.1	18.6	18.6	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	24.7	61	16.6	25.1	11.02	 .0728	0.00	---	---	---	---	216	2	97.3	10
01/10/15	1:00	18.1	18.1	18.0	87	15.9	0.0	ENE	0.00	8.0	E	18.1	18.6	18.6	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	24.9	60	16.6	25.3	10.88	 .0727	0.00	---	---	---	---	213	2	95.9	10
01/10/15	1:10	18.8	18.8	18.1	84	16.1	1.6	SE	0.27	11.3	ESE	18.8	19.4	19.4	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	24.7	61	16.6	25.1	11.02	 .0727	0.00	---	---	---	---	214	2	96.4	10
01/10/15	1:20	19.0	19.1	18.9	83	16.0	1.6	ENE	0.27	9.7	SSE	19.0	19.6	19.6	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	24.7	60	16.4	25.1	10.89	 .0728	0.00	---	---	---	---	216	2	97.3	10
01/10/15	1:30	18.9	19.0	18.9	84	16.2	1.6	ENE	0.27	6.4	N	18.9	19.5	19.5	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	24.6	61	16.6	25.1	11.02	 .0728	0.00	---	---	---	---	215	2	96.8	10
