		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/12/16	0:10	18.3	18.3	18.3	76	14.0	8.0	SW	1.34	14.5	SSE	18.3	18.6	18.6	---	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	26.9	50	15.6	27.0	9.14	 .0724	0.00	121	24.4	15	24.4	113	1	49.6	10
01/12/16	0:20	18.3	18.3	18.3	76	14.0	6.4	SW	1.07	16.1	SSW	18.3	18.6	18.6	---	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	26.8	50	15.5	26.9	9.14	 .0724	0.00	121	24.4	15	24.4	168	1	73.7	10
01/12/16	0:30	18.4	18.4	18.3	76	14.1	8.0	SSW	1.34	19.3	SW	18.4	18.6	18.6	---	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	26.8	50	15.5	26.9	9.14	 .0724	0.00	122	24.4	15	24.4	166	1	72.8	10
01/12/16	0:40	18.3	18.4	18.3	77	14.2	8.0	SW	1.34	19.3	W	18.3	18.5	18.5	---	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	26.7	50	15.4	26.8	9.15	 .0724	0.00	122	24.4	15	24.4	169	1	74.1	10
01/12/16	0:50	18.2	18.2	18.2	78	14.3	6.4	SW	1.07	24.1	SSW	18.2	18.4	18.4	---	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.001	0.000	26.7	50	15.4	26.8	9.15	 .0724	0.00	122	24.4	15	24.4	145	1	63.6	10
01/12/16	1:00	18.1	18.2	18.1	78	14.2	8.0	SSW	1.34	19.3	SSW	18.1	18.4	18.4	---	1015.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	26.7	50	15.4	26.8	9.15	 .0724	0.03	122	24.4	15	24.4	165	1	72.4	10
01/12/16	1:10	18.1	18.1	18.1	78	14.2	8.0	SW	1.34	22.5	SE	18.1	18.3	18.3	---	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	26.6	50	15.3	26.7	9.15	 .0725	0.00	122	24.4	15	24.4	170	1	74.6	10
01/12/16	1:20	17.9	18.1	17.9	78	14.1	8.0	SW	1.34	19.3	S	17.9	18.2	18.2	---	1015.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.6	50	15.3	26.7	9.15	 .0725	0.00	122	24.4	15	24.4	168	1	73.7	10
01/12/16	1:30	17.9	17.9	17.9	78	14.0	6.4	SSW	1.07	17.7	SSW	17.9	18.1	18.1	---	1015.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.6	50	15.3	26.7	9.15	 .0725	0.00	123	24.4	15	24.4	166	1	72.8	10
01/12/16	1:40	17.9	17.9	17.9	77	13.8	8.0	SSW	1.34	19.3	SSW	17.9	18.1	18.1	---	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.5	50	15.2	26.6	9.16	 .0725	0.00	123	24.4	15	23.9	178	1	78.1	10
01/12/16	1:50	17.9	17.9	17.9	77	13.9	8.0	SSW	1.34	19.3	SW	17.9	18.1	18.1	---	1015.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.8	49	15.2	26.8	8.94	 .0724	0.00	121	23.9	15	23.9	171	1	75.0	10
01/12/16	2:00	17.9	17.9	17.9	76	13.7	8.0	SW	1.34	19.3	SW	17.9	18.1	18.1	---	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.7	49	15.1	26.7	8.95	 .0724	0.03	---	---	---	---	167	1	73.2	10
01/12/16	2:10	17.8	17.9	17.8	76	13.5	8.0	SW	1.34	20.9	S	17.8	17.9	17.9	---	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.5	49	14.9	26.5	8.96	 .0725	0.00	---	---	---	---	170	1	74.6	10
01/12/16	2:20	17.8	17.8	17.8	77	13.7	4.8	SE	0.80	14.5	SE	17.8	17.9	17.9	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.004	0.000	26.4	49	14.8	26.4	8.96	 .0725	0.00	---	---	---	---	168	1	73.7	10
01/12/16	2:30	17.7	17.8	17.7	77	13.6	8.0	SSW	1.34	19.3	SSW	17.7	17.8	17.8	---	1015.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.004	0.000	26.5	49	14.9	26.5	8.96	 .0725	0.00	---	---	---	---	167	1	73.2	10
01/12/16	2:40	17.7	17.7	17.7	76	13.4	6.4	SW	1.07	20.9	WSW	17.7	17.8	17.8	---	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.004	0.000	26.3	49	14.7	26.3	8.96	 .0726	0.00	---	---	---	---	170	1	74.6	10
01/12/16	2:50	17.7	17.7	17.7	76	13.4	6.4	SW	1.07	20.9	SW	17.7	17.8	17.8	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.004	0.000	26.4	49	14.8	26.4	8.96	 .0725	0.00	---	---	---	---	175	1	76.8	10
01/12/16	3:00	17.7	17.7	17.7	75	13.2	6.4	SSW	1.07	12.9	SSE	17.7	17.7	17.7	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	26.2	50	15.0	26.3	9.17	 .0726	0.03	---	---	---	---	171	1	75.0	10
01/12/16	3:10	17.6	17.7	17.6	74	12.9	8.0	SW	1.34	17.7	SSW	17.6	17.6	17.6	---	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	26.3	49	14.7	26.3	8.96	 .0726	0.00	---	---	---	---	174	1	76.3	10
01/12/16	3:20	17.6	17.6	17.6	73	12.7	6.4	SW	1.07	14.5	E	17.6	17.6	17.6	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	26.2	49	14.7	26.3	8.97	 .0726	0.00	---	---	---	---	170	1	74.6	10
01/12/16	3:30	17.6	17.6	17.6	73	12.7	8.0	SW	1.34	17.7	WSW	17.6	17.5	17.5	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	26.2	49	14.7	26.3	8.97	 .0726	0.00	---	---	---	---	174	1	76.3	10
01/12/16	3:40	17.5	17.6	17.5	73	12.6	8.0	SE	1.34	19.3	SE	17.5	17.4	17.4	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.006	0.000	26.3	49	14.7	26.3	8.96	 .0726	0.00	---	---	---	---	175	1	76.8	10
