		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
01/05/16	0:10	10.3	10.4	10.3	95	9.6	0.0	---	0.00	0.0	---	10.3	10.6	10.6	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.056	0.000	21.5	56	12.4	20.9	10.34	 .0741	0.00	---	---	---	---	227	2	100.0	10
01/05/16	0:20	10.3	10.3	10.3	95	9.5	0.0	---	0.00	0.0	---	10.3	10.6	10.6	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.056	0.000	21.4	56	12.3	20.9	10.34	 .0741	0.00	---	---	---	---	229	2	100.0	10
01/05/16	0:30	10.3	10.3	10.3	95	9.6	0.0	---	0.00	0.0	---	10.3	10.6	10.6	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.056	0.000	21.4	57	12.6	20.9	10.53	 .0741	0.00	---	---	---	---	229	2	100.0	10
01/05/16	0:40	10.1	10.3	10.1	95	9.3	0.0	---	0.00	0.0	---	10.1	10.4	10.4	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.057	0.000	21.3	57	12.5	20.8	10.53	 .0741	0.00	---	---	---	---	228	2	100.0	10
01/05/16	0:50	10.0	10.1	10.0	95	9.2	0.0	---	0.00	0.0	---	10.0	10.3	10.3	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.058	0.000	21.3	56	12.2	20.7	10.34	 .0742	0.00	---	---	---	---	229	2	100.0	10
01/05/16	1:00	9.9	10.0	9.9	95	9.1	0.0	---	0.00	0.0	---	9.9	10.2	10.2	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.059	0.000	21.3	56	12.2	20.7	10.34	 .0742	0.00	---	---	---	---	228	2	100.0	10
01/05/16	1:10	9.9	9.9	9.8	95	9.1	0.0	---	0.00	0.0	---	9.9	10.2	10.2	---	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.059	0.000	21.2	56	12.1	20.6	10.35	 .0742	0.00	---	---	---	---	229	2	100.0	10
01/05/16	1:20	10.0	10.1	9.9	95	9.2	0.0	---	0.00	0.0	---	10.0	10.3	10.3	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.058	0.000	21.2	56	12.1	20.6	10.35	 .0742	0.00	---	---	---	---	228	2	100.0	10
01/05/16	1:30	9.9	10.0	9.9	95	9.1	0.0	---	0.00	0.0	---	9.9	10.2	10.2	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.059	0.000	21.2	56	12.0	20.5	10.35	 .0742	0.00	---	---	---	---	228	2	100.0	10
01/05/16	1:40	9.9	9.9	9.9	95	9.2	0.0	---	0.00	0.0	---	9.9	10.2	10.2	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.058	0.000	21.2	56	12.0	20.5	10.35	 .0742	0.00	---	---	---	---	229	2	100.0	10
01/05/16	1:50	9.7	9.9	9.7	95	8.9	0.0	---	0.00	0.0	---	9.7	9.9	9.9	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.060	0.000	21.3	56	12.2	20.7	10.34	 .0741	0.00	---	---	---	---	228	2	100.0	10
