		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 1	Soil 	Leaf	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Moist.	Temp 1	Wet 1	Temp 1	Samp	Tx 	Recept	Int.
06/04/17	0:10	17.2	17.2	17.1	89	15.4	1.6	NNE	0.27	8.0	NNW	17.2	17.6	17.6	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.008	0.000	26.3	51	15.3	26.4	9.35	 .0725	0.00	---	---	---	---	208	1	91.2	10
06/04/17	0:20	17.8	17.8	17.2	85	15.3	1.6	NNE	0.27	8.0	E	17.8	18.2	18.2	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	26.4	51	15.4	26.6	9.35	 .0724	0.00	---	---	---	---	212	1	93.0	10
06/04/17	0:30	18.4	18.4	17.9	84	15.7	1.6	E	0.27	12.9	E	18.4	18.9	18.9	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	26.2	52	15.6	26.4	9.47	 .0725	0.00	---	---	---	---	212	1	93.0	10
06/04/17	0:40	18.2	18.4	18.2	85	15.7	1.6	NE	0.27	6.4	NE	18.2	18.7	18.7	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.001	0.000	26.3	51	15.3	26.4	9.35	 .0725	0.00	---	---	---	---	209	1	91.7	10
06/04/17	0:50	18.1	18.2	18.1	83	15.2	1.6	NE	0.27	6.4	N	18.1	18.5	18.5	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	26.2	51	15.3	26.4	9.35	 .0725	0.00	---	---	---	---	210	1	92.1	10
06/04/17	1:00	18.0	18.2	18.0	84	15.3	1.6	NNE	0.27	6.4	NNE	18.0	18.4	18.4	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	26.2	51	15.3	26.4	9.35	 .0725	0.00	---	---	---	---	208	1	91.2	10
06/04/17	1:10	17.2	17.9	17.2	87	15.0	1.6	NNE	0.27	8.0	N	17.2	17.5	17.5	---	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.008	0.000	26.4	51	15.4	26.6	9.35	 .0724	0.00	---	---	---	---	212	1	93.0	10
06/04/17	1:20	16.8	17.1	16.8	89	15.0	0.0	NNE	0.00	4.8	NNE	16.8	17.1	17.1	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.011	0.000	26.2	51	15.3	26.4	9.35	 .0725	0.00	---	---	---	---	210	1	92.1	10
06/04/17	1:30	16.7	16.8	16.6	89	14.9	1.6	NNE	0.27	12.9	NW	16.7	17.0	17.0	---	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.011	0.000	26.2	51	15.3	26.4	9.35	 .0725	0.00	---	---	---	---	209	1	91.7	10
06/04/17	1:40	16.9	16.9	16.7	88	14.9	1.6	ENE	0.27	8.0	NE	16.9	17.2	17.2	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.010	0.000	26.1	51	15.2	26.3	9.35	 .0725	0.00	---	---	---	---	199	1	87.3	10
06/04/17	1:50	17.6	17.6	16.9	85	15.1	1.6	ESE	0.27	8.0	ESE	17.6	17.9	17.9	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	26.1	51	15.2	26.3	9.35	 .0725	0.00	---	---	---	---	196	1	86.0	10
06/04/17	2:00	18.1	18.1	17.6	84	15.3	1.6	SE	0.27	11.3	E	18.1	18.4	18.4	---	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	26.1	51	15.2	26.3	9.35	 .0725	0.00	---	---	---	---	201	1	88.2	10
